Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Exploiting Intrinsic Variability of Filamentary Resistive Memory for Extreme Learning Machine Architectures,M. Suri; V. Parmar,"Department of Electrical Engineering, Indian Institute of Technology, New Delhi, India",IEEE Transactions on Nanotechnology,20151109,2015,14,6,963,968,"In this paper, we show for the first time how unavoidable device variability of emerging nonvolatile resistive memory devices can be exploited to design efficient low-power, low-footprint extreme learning machine (ELM) architectures. In particular, we utilize the uncontrollable off-state resistance (Roff/HRS) spreads, of nanoscale filamentary-resistive memory devices, to realize random input weights and random hidden neuron biases; a characteristic requirement of ELM. We propose a novel RRAM-ELM architecture. To validate our approach, experimental data from different filamentary-resistive switching devices (CBRAM, OXRAM) are used for full-network simulations. Learning capability of our RRAM-ELM architecture is illustrated with the help of two real-world applications: 1) diabetes diagnosis test (classification) and 2) SinC curve fitting (regression).",1536-125X;1536125X,,10.1109/TNANO.2015.2441112,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7123635,Brain-Inspired;CBRAM;Cognitive Computing;Extreme Learning;Machine;Machine Learning;Neuromorphic;OXRAM;RRAM;Resistive Memory;brain-inspired;extreme learning machine;machine learning;neuromorphic;resistive memory;stochastic computing,Machine learning;Memory architecture;Nanoscale devices;Neuromorphic engineering;Random access memory;Stochastic systems,learning (artificial intelligence);memory architecture;random-access storage,CBRAM;OXRAM;RRAM-ELM architecture;SinC curve fitting;diabetes diagnosis test;extreme learning machine architectures;filamentary-resistive switching devices;full-network simulations;intrinsic variability;nanoscale filamentary-resistive memory devices;nonvolatile resistive memory devices;random hidden neuron biases;random input weights;unavoidable device variability;uncontrollable off-state resistance spreads,,12,,25,,,20150615,Nov. 2015,,IEEE,IEEE Journals & Magazines
Differential Evolution Extreme Learning Machine for the Classification of Hyperspectral Images,Y. Bazi; N. Alajlan; F. Melgani; H. AlHichri; S. Malek; R. R. Yager,"Adv. Lab. for Intell. Syst. Res. Lab., King Saud Univ., Riyadh, Saudi Arabia",IEEE Geoscience and Remote Sensing Letters,20140128,2014,11,6,1066,1070,"Recently, a new machine learning approach that is termed as the extreme learning machine (ELM) has been introduced in the literature. This approach is characterized by a unified formulation for regression, binary, and multiclass classification problems, and the related solution is given in an analytical compact form. In this letter, we propose an efficient classification method for hyperspectral images based on this machine learning approach. To address the model selection issue that is associated with the ELM, we develop an automatic-solution-based differential evolution (DE). This simple yet powerful evolutionary optimization algorithm uses cross-validation accuracy as a performance indicator for determining the optimal ELM parameters. Experimental results obtained from four benchmark hyperspectral data sets confirm the attractive properties of the proposed DE-ELM method in terms of classification accuracy and computation time.",1545-598X;1545598X,,10.1109/LGRS.2013.2286078,Distinguished Scientist Fellowship Program of King Saud University; ,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6656874,Differential evolution (DE);extreme learning machine (ELM);feature extraction;hyperspectral images,Hyperspectral imaging;Kernel;Support vector machines;Training;Vectors,evolutionary computation;geophysical image processing;hyperspectral imaging;image classification;learning (artificial intelligence);regression analysis,DE-ELM method;automatic solution-based differential evolution;binary classification;differential evolution extreme learning machine;evolutionary optimization algorithm;hyperspectral image classification;model selection;multiclass classification problem;regression classification,,42,,20,,,20131106,Jun-14,,IEEE,IEEE Journals & Magazines
Fusion of Extreme Learning Machine and Graph-Based Optimization Methods for Active Classification of Remote Sensing Images,M. A. Bencherif; Y. Bazi; A. Guessoum; N. Alajlan; F. Melgani; H. AlHichri,"Dept. of Electron., Saad Dahlab Univ., Blida, Algeria",IEEE Geoscience and Remote Sensing Letters,20140916,2015,12,3,527,531,"In this letter, we propose an efficient multiclass active learning (AL) method for remote sensing image classification. We fuse the capabilities of an extreme learning machine (ELM) classifier and graph-based optimization methods to boost the classification accuracy while minimizing the user interaction. First, we use the ELM to generate an initial label estimation of the unlabeled image pixels. Then, we optimize a graph-based functional energy that integrates the ELM outputs as an initial estimation of the image structure. As for the ELM, the solution to this multiclass optimization problem leads to a system of linear equations. Due to the sparse Laplacian matrix built from the lattice graph defined on the image pixels, the optimization problem is solved in a linear time. In the experiments, we report and discuss the results of the proposed AL method on two very high resolution images acquired by IKONOS-2 and GoeEye-1, as well as the well-known Pavia University hyperspectral image.",1545-598X;1545598X,,10.1109/LGRS.2014.2349538,Deanship of Scientific Research of the King Saud University; ,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6891215,Active learning (AL);extreme learning machine (ELM);graph-based optimization;multiclass classification,Accuracy;Educational institutions;Estimation;Optimization;Remote sensing;Sparse matrices;Training,Laplace equations;geophysical image processing;geophysical techniques;graph theory;hyperspectral imaging;image classification;image resolution;learning (artificial intelligence);matrix algebra;remote sensing,ELM classifier;GoeEye-1;IKONOS-2;Pavia University hyperspectral image;active classification;extreme learning machine;graph-based functional energy optimization;graph-based optimization method;image resolution;image structure estimation;initial label estimation;lattice graph;linear equations;multiclass active learning method;multiclass optimization problem;remote sensing image classification;sparse Laplacian matrix;unlabeled image pixels;user interaction minimization,,21,,11,,,20140904,Mar-15,,IEEE,IEEE Journals & Magazines
Reinforced Extreme Learning Machines for Fast Robust Regression in the Presence of Outliers,B. Frénay; M. Verleysen,"Faculty of Computer Science, Universit&#x00E9; de Namur, Namur, Belgium",IEEE Transactions on Cybernetics,20161115,2016,46,12,3351,3363,"Extreme learning machines (ELMs) are fast methods that obtain state-of-the-art results in regression. However, they are not robust to outliers and their meta-parameter (i.e., the number of neurons for standard ELMs and the regularization constant of output weights for L2-regularized ELMs) selection is biased by such instances. This paper proposes a new robust inference algorithm for ELMs which is based on the pointwise probability reinforcement methodology. Experiments show that the proposed approach produces results which are comparable to the state of the art, while being often faster.",2168-2267;21682267,,10.1109/TCYB.2015.2504404,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7358117,Extreme learning machines (ELMs);outliers;pointwise probability reinforcements (PPRs);regularization;robust inference,Cybernetics;Inference algorithms;Linear regression;Maximum likelihood estimation;Neurons;Robustness;Standards,feedforward neural nets;inference mechanisms;learning (artificial intelligence);probability;regression analysis,ELM;inference algorithm;outliers;pointwise probability reinforcement methodology;regression;reinforced extreme learning machines,,1,,,,,20151217,Dec. 2016,,IEEE,IEEE Journals & Magazines
Distributed and weighted extreme learning machine for imbalanced big data learning,Z. Wang; J. Xin; H. Yang; S. Tian; G. Yu; C. Xu; Y. Yao,"Sino- Dutch Biomedical & Information Engineering School, Northeastern University, Shenyang 110169, China",Tsinghua Science and Technology,20170406,2017,22,2,160,173,"The Extreme Learning Machine (ELM) and its variants are effective in many machine learning applications such as Imbalanced Learning (IL) or Big Data (BD) learning. However, they are unable to solve both imbalanced and large-volume data learning problems. This study addresses the IL problem in BD applications. The Distributed and Weighted ELM (DW-ELM) algorithm is proposed, which is based on the MapReduce framework. To confirm the feasibility of parallel computation, first, the fact that matrix multiplication operators are decomposable is illustrated. Then, to further improve the computational efficiency, an Improved DW-ELM algorithm (IDW-ELM) is developed using only one MapReduce job. The successful operations of the proposed DW-ELM and IDW-ELM algorithms are finally validated through experiments.",,,10.23919/TST.2017.7889638,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7889638,weighted Extreme Learning Machine (ELM); imbalanced big data; MapReduce framework; user-definedcounter,Big Data;Computer science;Distributed databases;Machine learning algorithms;Matrix decomposition;Prediction algorithms;Training,,,,,,,,,,Apr-17,,TUP,TUP Journals & Magazines
An Efficient Method for Traffic Sign Recognition Based on Extreme Learning Machine,Z. Huang; Y. Yu; J. Gu; H. Liu,"College of Mathematics and Computer Science, Fuzhou University, Fuzhou, China",IEEE Transactions on Cybernetics,20170520,2017,47,4,920,933,"This paper proposes a computationally efficient method for traffic sign recognition (TSR). This proposed method consists of two modules: (1) extraction of histogram of oriented gradient variant (HOGv) feature and (2) a single classifier trained by extreme learning machine (ELM) algorithm. The presented HOGv feature keeps a good balance between redundancy and local details such that it can represent distinctive shapes better. The classifier is a single-hidden-layer feedforward network. Based on ELM algorithm, the connection between input and hidden layers realizes the random feature mapping while only the weights between hidden and output layers are trained. As a result, layer-by-layer tuning is not required. Meanwhile, the norm of output weights is included in the cost function. Therefore, the ELM-based classifier can achieve an optimal and generalized solution for multiclass TSR. Furthermore, it can balance the recognition accuracy and computational cost. Three datasets, including the German TSR benchmark dataset, the Belgium traffic sign classification dataset and the revised mapping and assessing the state of traffic infrastructure (revised MASTIF) dataset, are used to evaluate this proposed method. Experimental results have shown that this proposed method obtains not only high recognition accuracy but also extremely high computational efficiency in both training and recognition processes in these three datasets.",2168-2267;21682267,,10.1109/TCYB.2016.2533424,10.13039/501100001809 - National Natural Science Foundation of China; ,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7433451,Extreme learning machine (ELM);HOG variant (HOGv);traffic sign recognition (TSR),Computational efficiency;Feature extraction;Histograms;Neural networks;Robustness;Shape;Training,feature extraction;feedforward neural nets;image recognition;learning (artificial intelligence);traffic engineering computing,ELM;HOGv;TSR;extreme learning machine;feature extraction;histogram of oriented gradient variant;single-hidden-layer feedforward network;traffic sign recognition,,8,,,,,20160314,Apr-17,,IEEE,IEEE Journals & Magazines
Parsimonious Extreme Learning Machine Using Recursive Orthogonal Least Squares,N. Wang; M. J. Er; M. Han,"Marine Engineering College, Dalian Maritime University, Dalian, China",IEEE Transactions on Neural Networks and Learning Systems,20170520,2014,25,10,1828,1841,"Novel constructive and destructive parsimonious extreme learning machines (CP- and DP-ELM) are proposed in this paper. By virtue of the proposed ELMs, parsimonious structure and excellent generalization of multiinput-multioutput single hidden-layer feedforward networks (SLFNs) are obtained. The proposed ELMs are developed by innovative decomposition of the recursive orthogonal least squares procedure into sequential partial orthogonalization (SPO). The salient features of the proposed approaches are as follows: 1) Initial hidden nodes are randomly generated by the ELM methodology and recursively orthogonalized into an upper triangular matrix with dramatic reduction in matrix size; 2) the constructive SPO in the CP-ELM focuses on the partial matrix with the subcolumn of the selected regressor including nonzeros as the first column while the destructive SPO in the DP-ELM operates on the partial matrix including elements determined by the removed regressor; 3) termination criteria for CP- and DP-ELM are simplified by the additional residual error reduction method; and 4) the output weights of the SLFN need not be solved in the model selection procedure and is derived from the final upper triangular equation by backward substitution. Both single- and multi-output real-world regression data sets are used to verify the effectiveness and superiority of the CP- and DP-ELM in terms of parsimonious architecture and generalization accuracy. Innovative applications to nonlinear time-series modeling demonstrate superior identification results.",2162-237X;2162237X,,10.1109/TNNLS.2013.2296048,Applied Basic Research Funds from the Ministry of Transport of China; Fundamental Research Funds for the Central Universities of China; Program for Liaoning Excellent Talents in University; 10.13039/501100001809 - National Natural Science Foundation of China; 10.13039/501100002858 - China Post-Doctoral Science Foundation; ,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6704311,Extreme learning machine (ELM);parsimonious model selection;recursive orthogonal least squares (ROLS);sequential partial orthogonalization (SPO);single hidden-layer feedforward network (SLFN);single hidden-layer feedforward network (SLFN).,Context;Educational institutions;Mathematical model;Matrix decomposition;Training;Training data;Vectors,data analysis;feedforward neural nets;generalisation (artificial intelligence);learning (artificial intelligence);least squares approximations;matrix algebra;recursive functions;regression analysis;time series,CP-ELM;DP-ELM;ELM methodology;SLFN;backward substitution;constructive parsimonious extreme learning machine;destructive SPO;destructive parsimonious extreme learning machine;generalization accuracy;hidden node random generation;matrix size reduction;multiinput-multioutput single hidden-layer feedforward networks;nonlinear time-series modeling;parsimonious architecture;parsimonious structure;partial matrix;recursive orthogonal least squares decomposition;recursive orthogonalization;regression data set;regressor;residual error reduction method;sequential partial orthogonalization;termination criteria;upper triangular equation;upper triangular matrix,,53,,36,,,20140109,Oct. 2014,,IEEE,IEEE Journals & Magazines
Robust Visual Knowledge Transfer via Extreme Learning Machine-Based Domain Adaptation,L. Zhang; D. Zhang,"College of Communication Engineering, Chongqing University, Chongqing, China",IEEE Transactions on Image Processing,20160830,2016,25,10,4959,4973,"We address the problem of visual knowledge adaptation by leveraging labeled patterns from source domain and a very limited number of labeled instances in target domain to learn a robust classifier for visual categorization. This paper proposes a new extreme learning machine (ELM)-based cross-domain network learning framework, that is called ELM-based Domain Adaptation (EDA). It allows us to learn a category transformation and an ELM classifier with random projection by minimizing the ℓ<sub>2,1</sub>-norm of the network output weights and the learning error simultaneously. The unlabeled target data, as useful knowledge, is also integrated as a fidelity term to guarantee the stability during cross-domain learning. It minimizes the matching error between the learned classifier and a base classifier, such that many existing classifiers can be readily incorporated as the base classifiers. The network output weights cannot only be analytically determined, but also transferrable. In addition, a manifold regularization with Laplacian graph is incorporated, such that it is beneficial to semisupervised learning. Extensively, we also propose a model of multiple views, referred as MvEDA. Experiments on benchmark visual datasets for video event recognition and object recognition demonstrate that our EDA methods outperform the existing cross-domain learning methods.",1057-7149;10577149,,10.1109/TIP.2016.2598679,Research fund of Central Universities; 10.13039/501100001809 - National Natural Science Foundation of China; ,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7539280,Domain adaptation;cross-domain learning;extreme learning machine;knowledge adaptation,Kernel;Object recognition;Robustness;Support vector machines;Training;Training data;Visualization,image classification;learning (artificial intelligence);neural nets,"ELM classifier;ELM-based domain adaptation;Laplacian graph;MvEDA;cross-domain network learning framework;extreme learning machine;l<sub>2,1</sub>-norm minimization;learning error minimization;manifold regularization;random projection;semisupervised learning;visual knowledge adaptation;visual knowledge transfer",,21,,,,,20160810,Oct. 2016,,IEEE,IEEE Journals & Magazines
Extreme Learning Machines [Trends & Controversies],E. Cambria; G. B. Huang; L. L. C. Kasun; H. Zhou; C. M. Vong; J. Lin; J. Yin; Z. Cai; Q. Liu; K. Li; V. C. M. Leung; L. Feng; Y. S. Ong; M. H. Lim; A. Akusok; A. Lendasse; F. Corona; R. Nian; Y. Miche; P. Gastaldo; R. Zunino; S. Decherchi; X. Yang; K. Mao; B. S. Oh; J. Jeon; K. A. Toh; A. B. J. Teoh; J. Kim; H. Yu; Y. Chen; J. Liu,MIT Media Laboratory,IEEE Intelligent Systems,20140206,2013,28,6,30,59,"This special issue includes eight original works that detail the further developments of ELMs in theories, applications, and hardware implementation. In ""Representational Learning with ELMs for Big Data,"" Liyanaarachchi Lekamalage Chamara Kasun, Hongming Zhou, Guang-Bin Huang, and Chi Man Vong propose using the ELM as an auto-encoder for learning feature representations using singular values. In ""A Secure and Practical Mechanism for Outsourcing ELMs in Cloud Computing,"" Jiarun Lin, Jianping Yin, Zhiping Cai, Qiang Liu, Kuan Li, and Victor C.M. Leung propose a method for handling large data applications by outsourcing to the cloud that would dramatically reduce ELM training time. In ""ELM-Guided Memetic Computation for Vehicle Routing,"" Liang Feng, Yew-Soon Ong, and Meng-Hiot Lim consider the ELM as an engine for automating the encapsulation of knowledge memes from past problem-solving experiences. In ""ELMVIS: A Nonlinear Visualization Technique Using Random Permutations and ELMs,"" Anton Akusok, Amaury Lendasse, Rui Nian, and Yoan Miche propose an ELM method for data visualization based on random permutations to map original data and their corresponding visualization points. In ""Combining ELMs with Random Projections,"" Paolo Gastaldo, Rodolfo Zunino, Erik Cambria, and Sergio Decherchi analyze the relationships between ELM feature-mapping schemas and the paradigm of random projections. In ""Reduced ELMs for Causal Relation Extraction from Unstructured Text,"" Xuefeng Yang and Kezhi Mao propose combining ELMs with neuron selection to optimize the neural network architecture and improve the ELM ensemble's computational efficiency. In ""A System for Signature Verification Based on Horizontal and Vertical Components in Hand Gestures,"" Beom-Seok Oh, Jehyoung Jeon, Kar-Ann Toh, Andrew Beng Jin Teoh, and Jaihie Kim propose a novel paradigm for hand signature biometry- for touchless applications without the need for handheld devices. Finally, in ""An Adaptive and Iterative Online Sequential ELM-Based Multi-Degree-of-Freedom Gesture Recognition System,"" Hanchao Yu, Yiqiang Chen, Junfa Liu, and Guang-Bin Huang propose an online sequential ELM-based efficient gesture recognition algorithm for touchless human-machine interaction.",1541-1672;15411672,,10.1109/MIS.2013.140,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6733226,ELM;Kinect;OS-ELM;cloud computing;computation outsourcing;deep networks;ensemble;evolutionary optimization;extreme learning machine;hand gesture signature verification;human-computer interaction;knowledge extraction;memetic computation;meta meme;online sequential ELM;partitioned ELM;random permutations;random projections;representational learning;signature biometrics;text mining;visualization,Adaptive learning;Artificial intelligence;Big data;Biological neural networks;Data visualization;Gesture recognition;Learning systems;Machine learning;Nonhomogeneous media;Special issues and sections,,,,118,,4,,,,Nov.-Dec. 2013,,IEEE,IEEE Journals & Magazines
Classification of Hyperspectral Remote Sensing Image Using Hierarchical Local-Receptive-Field-Based Extreme Learning Machine,Q. Lv; X. Niu; Y. Dou; J. Xu; Y. Lei,"Sch. of Comput., Nat. Univ. of Defense Technol., Changsha, China",IEEE Geoscience and Remote Sensing Letters,20160229,2016,13,3,434,438,"This letter proposes a novel classification approach for a hyperspectral image (HSI) using a hierarchical local-receptive-field (LRF)-based extreme learning machine (ELM). As a fast and accurate pattern classification algorithm, ELM has been applied in numerous fields, including the HSI classification. The LRF concept originates from research in neuroscience. Considering the local correlations of spectral features, it is promising to improve the performance of HSI classification by introducing the LRFs. Recent research on deep learning has shown that hierarchical architectures with more layers can potentially extract abstract representation and invariant features for better classification performance. Therefore, we further extend the LRF-based ELM method to a hierarchical model for HSI classification. Experimental results on two widely used real hyperspectral data sets confirm the effectiveness of the proposed HSI classification approach.",1545-598X;1545598X,,10.1109/LGRS.2016.2517178,10.13039/501100001809 - National Natural Science Foundation of China; ,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7403893,Deep learning;extreme learning machine (ELM);hyperspectral image (HSI) classification;local receptive field (LRF),Convolution;Feature extraction;Hyperspectral imaging;Neurons;Training,geophysical image processing;hyperspectral imaging;image classification;learning (artificial intelligence);pattern classification;terrain mapping,ELM;HSI classification;LRF-based ELM method;hierarchical local-receptive-field-based extreme learning machine;hyperspectral remote sensing image classification;image representation;neuroscience;pattern classification algorithm;spectral feature,,1,,19,,,20160211,Mar-16,,IEEE,IEEE Journals & Magazines
Extreme Learning Machine for Regression and Multiclass Classification,G. B. Huang; H. Zhou; X. Ding; R. Zhang,"School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore","IEEE Transactions on Systems, Man, and Cybernetics, Part B (Cybernetics)",20120315,2012,42,2,513,529,"Due to the simplicity of their implementations, least square support vector machine (LS-SVM) and proximal support vector machine (PSVM) have been widely used in binary classification applications. The conventional LS-SVM and PSVM cannot be used in regression and multiclass classification applications directly, although variants of LS-SVM and PSVM have been proposed to handle such cases. This paper shows that both LS-SVM and PSVM can be simplified further and a unified learning framework of LS-SVM, PSVM, and other regularization algorithms referred to extreme learning machine (ELM) can be built. ELM works for the “generalized” single-hidden-layer feedforward networks (SLFNs), but the hidden layer (or called feature mapping) in ELM need not be tuned. Such SLFNs include but are not limited to SVM, polynomial network, and the conventional feedforward neural networks. This paper shows the following: 1) ELM provides a unified learning platform with a widespread type of feature mappings and can be applied in regression and multiclass classification applications directly; 2) from the optimization method point of view, ELM has milder optimization constraints compared to LS-SVM and PSVM; 3) in theory, compared to ELM, LS-SVM and PSVM achieve suboptimal solutions and require higher computational complexity; and 4) in theory, ELM can approximate any target continuous function and classify any disjoint regions. As verified by the simulation results, ELM tends to have better scalability and achieve similar (for regression and binary class cases) or much better (for multiclass cases) generalization performance at much faster learning speed (up to thousands times) than traditional SVM and LS-SVM.",1083-4419;10834419,,10.1109/TSMCB.2011.2168604,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6035797,Extreme learning machine (ELM);feature mapping;kernel;least square support vector machine (LS-SVM);proximal support vector machine (PSVM);regularization network,Approximation methods;Feedforward neural networks;Kernel;Machine learning;Optimization;Support vector machines;Training,computational complexity;feedforward neural nets;learning (artificial intelligence);least squares approximations;optimisation;pattern classification;polynomials;regression analysis;support vector machines,ELM;LS-SVM;PSVM;binary classification applications;computational complexity;conventional feedforward neural networks;extreme learning machine;feature mapping;generalized single-hidden-layer feedforward networks;least square support vector machine;multiclass classification;optimization method;polynomial network;proximal support vector machine;regression;regularization algorithms,,1333,2,56,,,20111006,Apr-12,,IEEE,IEEE Journals & Magazines
A heterogeneous ensemble of extreme learning machines with correntropy and negative correlation,A. O. M. Abuassba; Y. Zhang; X. Luo; D. Zhang; W. Aziguli,"School of Computer and Communication Engineering, University of Science and Technology Beijing (USTB), Beijing 100083, China, and the Beijing Key Laboratory of Knowledge Engineering for Materials Science, Beijing 100083, China",Tsinghua Science and Technology,20171214,2017,22,6,691,701,"The Extreme Learning Machine (ELM) is an effective learning algorithm for a Single-Layer Feedforward Network (SLFN). It performs well in managing some problems due to its fast learning speed. However, in practical applications, its performance might be affected by the noise in the training data. To tackle the noise issue, we propose a novel heterogeneous ensemble of ELMs in this article. Specifically, the correntropy is used to achieve insensitive performance to outliers, while implementing Negative Correlation Learning (NCL) to enhance diversity among the ensemble. The proposed Heterogeneous Ensemble of ELMs (HE<sup>2</sup>LM) for classification has different ELM algorithms including the Regularized ELM (RELM), the Kernel ELM (KELM), and the L<sub>2</sub>-norm-optimized ELM (ELML2). The ensemble is constructed by training a randomly selected ELM classifier on a subset of the training data selected through random resampling. Then, the class label of unseen data is predicted using a maximum weighted sum approach. After splitting the training data into subsets, the proposed HE<sup>2</sup>LM is tested through classification and regression tasks on real-world benchmark datasets and synthetic datasets. Hence, the simulation results show that compared with other algorithms, our proposed method can achieve higher prediction accuracy, better generalization, and less sensitivity to outliers.",,,10.23919/TST.2017.8195351,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8195351,Extreme Learning Machine (ELM);classification;correntropy;ensemble;negative correlation,Correlation;Diversity reception;Kernel;Optimization;Prediction algorithms;Training;Training data,,,,,,,,,,Dec-17,,TUP,TUP Journals & Magazines
